key,title,description,estimated-cost,acceptance-criteria,priority,link,draft-mode,key:manager
user-story-29,Lorem ipsum,Lorem ipsum,10,貸んい建濯よ芝弾テソ,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-02
user-story-30,Lorem ipsum,Lorem ipsum,10,<p>This text is in HTML</p>,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-02
user-story-31,Lorem ipsum,Lorem ipsum,10,<script>alert('Hi')</script>,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-02
user-story-32,Lorem ipsum,Lorem ipsum,10,'' or 'A'='A',MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-33,Lorem ipsum,Lorem ipsum,10,SELECT c FROM Contract OR 1=1,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-02
user-story-34,Lorem ipsum,Lorem ipsum,10,Lorem ipsum,SHOULD,https://es.wikipedia.org/wiki/Curso,true,manager-02
user-story-35,Lorem ipsum,Lorem ipsum,10,Lorem ipsum,COULD,https://es.wikipedia.org/wiki/Curso,true,manager-02
user-story-36,Lorem ipsum,Lorem ipsum,10,Lorem ipsum,WONT,https://es.wikipedia.org/wiki/Curso,true,manager-02
user-story-37,Lorem ipsum,Lorem ipsum,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/CursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCurso,true,manager-01
user-story-38,Lorem ipsum,Lorem ipsum,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/CursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCursoCurs,true,manager-01
user-story-39,Lorem ipsum,Lorem ipsum,10,Lorem ipsum,MUST,,true,manager-02
user-story-40,Lorem ipsum,Lorem ipsum,10,Lorem ipsum,MUST,null,true,manager-02
user-story-41,Lorem ipsum,Lorem ipsum,10,Lorem ipsum,MUST,ftp://www.example.com/myProfile,true,manager-02
user-story-42,Lorem ipsum,Lorem ipsum,10,Lorem ipsum,MUST,https://www.example.com?ejemplo=ejemplo&id=4,true,manager-02
user-story-43,Lorem ipsum,Lorem ipsum,10,Lorem ipsum,MUST,https://www.example.com?,true,manager-02
user-story-44,Lorem ipsum,Lorem ipsum,10,Lorem ipsum,MUST,https://www.んい建濯よ芝.com,true,manager-02
