key,code,instantiationMoment,providerName,customerName,goals,budget,key:project,key:client
contract-06.2,ABC-028,2000/04/23 21:00,Lorem ipsum,Lorem ipsum,Lo,"EUR 1,000.00",project-01,client-01
contract-06.3,ABC-029,2000/04/23 21:00,Lorem ipsum,Lorem ipsum,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed euismod elit at est porttitor tristique,"EUR 1,000.00",project-01,client-01
contract-06.4,ABC-030,2000/04/23 21:00,Lorem ipsum,Lorem ipsum,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed euismod elit at est porttitor tristique ,"EUR 1,000.00",project-01,client-01
contract-06.5,ABC-031,2000/04/23 21:00,Lorem ipsum,Lorem ipsum,æ¨£æœ¬æ¨™é¡Œ,"EUR 1,000.00",project-01,client-01
contract-06.6,ABC-032,2000/04/23 21:00,Lorem ipsum,Lorem ipsum,貸んい建濯よ芝弾テソ,"EUR 1,000.00",project-01,client-01
contract-06.7,ABC-033,2000/04/23 21:00,Lorem ipsum,Lorem ipsum,<script>alert('Hi')</script>,"EUR 1,000.00",project-01,client-01
contract-06.8,ABC-034,2000/04/23 21:00,Lorem ipsum,Lorem ipsum,<h1>HTML code</h1>,"EUR 1,000.00",project-01,client-01
contract-06.9,ABC-035,2000/04/23 21:00,Lorem ipsum,Lorem ipsum,'' or 'A' = 'A',"EUR 1,000.00",project-01,client-01
contract-06.10,ABC-036,2000/04/23 21:00,Lorem ipsum,Lorem ipsum,SELECT c FROM Contract OR 1=1,"EUR 1,000.00",project-01,client-01
contract-07.1,ABC-037,2000/04/23 21:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,"EUR 00.01",project-01,client-01
contract-07.2,ABC-038,2000/04/23 21:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,"EUR 00.02",project-01,client-01
contract-07.3,ABC-039,2000/04/23 21:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,"EUR 1,000,000.00",project-01,client-01
contract-07.4,ABC-040,2000/04/23 21:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,"EUR 999,999.99",project-01,client-01
contract-07.5,ABC-041,2000/04/23 21:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,"GBP 15.75",project-01,client-01
contract-07.6,ABC-042,2000/04/23 21:00,Lorem ipsum,Lorem ipsum,Lorem ipsum,"THB 123,456.78",project-01,client-01
